,name,company,year,kms_driven,fuel_type,Price
0,Ford Figo Diesel,Ford,2011,180000,Diesel,999000
1,Ford Figo Diesel,Ford,2011,84000,Diesel,999000
2,Ford Figo Petrol,Ford,2012,85000,Petrol,990000
3,Ford Figo Petrol,Ford,2011,25000,Petrol,990000
4,Ford Figo Petrol,Ford,2010,90000,Petrol,990000
5,Ford Figo Petrol,Ford,2010,30000,Petrol,990000
6,Ford Figo Petrol,Ford,2011,15000,Petrol,990000
7,Ford Figo Petrol,Ford,2012,25000,Petrol,980000
8,Ford Figo Petrol,Ford,2010,50000,Petrol,980000
9,Ford Figo Petrol,Ford,2010,120000,Petrol,980000
10,Ford Figo Petrol,Ford,2011,80000,Petrol,980000
11,Ford Figo Petrol,Ford,2010,80000,Petrol,978999
12,Ford Figo Petrol,Ford,2010,48000,Petrol,977000
13,Ford Figo Titanium,Ford,2019,3177,Petrol,975000
14,Ford Figo Titanium,Ford,2013,158000,Diesel,975000
15,Ford Figo Titanium,Ford,2010,86017,Diesel,975000
16,Ford Freestyle Titanium,Ford,2018,2860,Diesel,975000
17,Ford Freestyle Titanium,Ford,2019,17000,Diesel,975000
18,Ford Freestyle Titanium,Ford,2020,5000,Petrol,975000
19,Ford Freestyle Titanium,Ford,2018,19100,Petrol,975000
20,Ford Freestyle Titanium,Ford,2019,10000,Petrol,975000
21,Ford Freestyle Titanium,Ford,2018,19100,Petrol,975000
22,Ford Freestyle Titanium,Ford,2018,25000,Petrol,975000
23,Ford Freestyle Titanium,Ford,2018,35278,Diesel,975000
24,Ford Freestyle Titanium,Ford,2018,24000,Diesel,975000
25,Ford Freestyle Titanium,Ford,2018,24000,Diesel,975000
26,Ford Freestyle Titanium,Ford,2019,6000,Petrol,975000
27,Ford Freestyle Trend,Ford,2018,20706,Diesel,975000
28,Ford Freestyle Trend,Ford,2018,60000,Diesel,974000
29,Ford Freestyle Trend,Ford,2019,10000,Petrol,969999
30,Ford Fusion 1.4,Ford,2009,100000,Diesel,969999
31,Ford Fusion 1.4,Ford,2009,110000,Diesel,969999
32,Ford Fusion Plus,Ford,2008,110000,Diesel,965000
33,Ford Ikon 1.3,Ford,2003,83000,Petrol,960000
